Timestamp,Origin,Grad,Parent,Neighbor,RSSI,Link_UP(s),QLD(%),Pin(%)
2026-03-12 02:12:59,0008,2,0006,000A,-53,291,0,100.0
2026-03-12 02:12:59,0007,1,0002,0002,-59,318,0,100.0
2026-03-12 02:12:59,0007,1,0002,0006,-49,318,0,100.0
2026-03-12 02:12:59,0007,1,0002,0005,-52,318,0,100.0
2026-03-12 02:12:59,0007,1,0002,0003,-54,318,0,100.0
2026-03-12 02:12:59,0007,1,0002,0004,-57,318,0,100.0
2026-03-12 02:12:59,0007,1,0002,000A,-40,318,0,100.0
2026-03-12 02:12:59,0007,1,0002,0009,-47,318,0,100.0
2026-03-12 02:12:59,0007,1,0002,0008,-57,318,0,100.0
2026-03-12 02:12:59,0006,1,0002,0002,-52,383,0,100.0
2026-03-12 02:12:59,0006,1,0002,0003,-49,383,0,100.0
2026-03-12 02:12:59,0006,1,0002,0004,-54,383,0,100.0
2026-03-12 02:12:59,0006,1,0002,0005,-54,383,0,100.0
2026-03-12 02:12:59,0006,1,0002,0007,-55,383,0,100.0
2026-03-12 02:12:59,0006,1,0002,000A,-54,383,0,100.0
2026-03-12 02:12:59,0006,1,0002,0009,-56,383,0,100.0
2026-03-12 02:12:59,0006,1,0002,0008,-60,383,0,100.0
2026-03-12 02:12:59,0004,1,0002,0002,-51,86,0,100.0
2026-03-12 02:12:59,0004,1,0002,0003,-44,86,0,100.0
2026-03-12 02:12:59,0004,1,0002,0005,-55,86,0,100.0
2026-03-12 02:12:59,0004,1,0002,0006,-58,86,0,100.0
2026-03-12 02:12:59,0004,1,0002,0007,-59,86,0,100.0
2026-03-12 02:12:59,0004,1,0002,000A,-57,86,0,100.0
2026-03-12 02:12:59,0004,1,0002,0008,-60,86,0,100.0
2026-03-12 02:12:59,0009,2,0007,0007,-51,295,0,100.0
2026-03-12 02:12:59,0009,2,0007,0006,-56,295,0,100.0
2026-03-12 02:12:59,0009,2,0007,0005,-58,295,0,100.0
2026-03-12 02:12:59,0009,2,0007,0008,-37,295,0,100.0
2026-03-12 02:12:59,0009,2,0007,000A,-55,295,0,100.0
2026-03-12 02:12:59,0005,1,0002,0002,-58,399,0,100.0
2026-03-12 02:12:59,0005,1,0002,0003,-47,399,0,100.0
2026-03-12 02:12:59,0005,1,0002,0006,-53,399,0,100.0
2026-03-12 02:12:59,0005,1,0002,0004,-57,399,0,100.0
2026-03-12 02:12:59,0005,1,0002,0007,-57,399,0,100.0
2026-03-12 02:12:59,0005,1,0002,000A,-45,399,0,100.0
2026-03-12 02:12:59,0005,1,0002,0009,-59,399,0,100.0
2026-03-12 02:13:29,0007,1,0002,0002,-59,348,0,100.0
2026-03-12 02:13:29,0007,1,0002,0006,-55,348,0,100.0
2026-03-12 02:13:29,0007,1,0002,0003,-55,348,0,100.0
2026-03-12 02:13:29,0007,1,0002,0005,-55,348,0,100.0
2026-03-12 02:13:29,0007,1,0002,0004,-58,348,0,100.0
2026-03-12 02:13:29,0007,1,0002,000A,-38,348,0,100.0
2026-03-12 02:13:29,0007,1,0002,0008,-46,348,0,100.0
2026-03-12 02:13:29,0007,1,0002,0009,-50,348,0,100.0
2026-03-12 02:13:29,0005,1,0002,0002,-52,434,0,100.0
2026-03-12 02:13:29,0005,1,0002,0003,-54,434,0,100.0
2026-03-12 02:13:29,0005,1,0002,0006,-56,434,0,100.0
2026-03-12 02:13:29,0005,1,0002,0007,-57,434,0,100.0
2026-03-12 02:13:29,0005,1,0002,0004,-58,434,0,100.0
2026-03-12 02:13:29,0005,1,0002,000A,-50,434,0,100.0
2026-03-12 02:13:29,0005,1,0002,0009,-59,434,0,100.0
2026-03-12 02:13:29,0004,1,0002,0002,-53,116,0,100.0
2026-03-12 02:13:29,0004,1,0002,0003,-46,116,0,100.0
2026-03-12 02:13:29,0004,1,0002,0006,-55,116,0,100.0
2026-03-12 02:13:29,0004,1,0002,0005,-57,116,0,100.0
2026-03-12 02:13:29,0004,1,0002,0007,-60,116,0,100.0
2026-03-12 02:13:29,0004,1,0002,000A,-59,116,0,100.0
2026-03-12 02:13:29,0004,1,0002,0008,-60,116,0,100.0
2026-03-12 02:13:29,0008,2,0007,0007,-49,313,0,100.0
2026-03-12 02:13:29,0008,2,0007,0006,-52,313,0,100.0
2026-03-12 02:13:29,0008,2,0007,0003,-56,313,0,100.0
2026-03-12 02:13:29,0008,2,0007,0009,-38,313,0,100.0
2026-03-12 02:13:29,0008,2,0007,000A,-53,313,0,100.0
2026-03-12 02:13:29,000A,2,0007,0007,-39,293,0,100.0
2026-03-12 02:13:29,000A,2,0007,0005,-44,293,0,100.0
2026-03-12 02:13:29,000A,2,0007,0006,-54,293,0,100.0
2026-03-12 02:13:29,000A,2,0007,0003,-54,293,0,100.0
2026-03-12 02:13:29,000A,2,0007,0004,-57,293,0,100.0
2026-03-12 02:13:29,000A,2,0007,0009,-52,293,0,100.0
2026-03-12 02:13:29,000A,2,0007,0008,-54,293,0,100.0
2026-03-12 02:13:29,0006,1,0002,0002,-51,413,0,100.0
2026-03-12 02:13:29,0006,1,0002,0004,-50,413,0,100.0
2026-03-12 02:13:29,0006,1,0002,0005,-51,413,0,100.0
2026-03-12 02:13:29,0006,1,0002,0003,-54,413,0,100.0
2026-03-12 02:13:29,0006,1,0002,0007,-55,413,0,100.0
2026-03-12 02:13:29,0006,1,0002,0009,-51,413,0,100.0
2026-03-12 02:13:29,0006,1,0002,0008,-52,413,0,100.0
2026-03-12 02:13:29,0006,1,0002,000A,-54,413,0,100.0
2026-03-12 02:13:29,0003,1,0002,0002,-44,477,0,100.0
2026-03-12 02:13:29,0003,1,0002,0004,-44,477,0,100.0
2026-03-12 02:13:29,0003,1,0002,0005,-46,477,0,100.0
2026-03-12 02:13:29,0003,1,0002,0006,-49,477,0,100.0
2026-03-12 02:13:29,0003,1,0002,0007,-59,477,0,100.0
2026-03-12 02:13:29,0003,1,0002,0008,-56,477,0,100.0
2026-03-12 02:13:29,0003,1,0002,000A,-59,477,0,100.0
2026-03-12 02:13:29,0009,2,0007,0007,-51,325,0,100.0
2026-03-12 02:13:29,0009,2,0007,0006,-52,325,0,100.0
2026-03-12 02:13:29,0009,2,0007,0005,-57,325,0,100.0
2026-03-12 02:13:29,0009,2,0007,0008,-38,325,0,100.0
2026-03-12 02:13:29,0009,2,0007,000A,-55,325,0,100.0
2026-03-12 02:13:59,000A,2,0007,0007,-47,323,0,100.0
2026-03-12 02:13:59,000A,2,0007,0005,-50,323,0,100.0
2026-03-12 02:13:59,000A,2,0007,0006,-56,323,0,100.0
2026-03-12 02:13:59,000A,2,0007,0003,-56,323,0,100.0
2026-03-12 02:13:59,000A,2,0007,0004,-57,323,0,100.0
2026-03-12 02:13:59,000A,2,0007,0008,-51,323,0,100.0
2026-03-12 02:13:59,000A,2,0007,0009,-55,323,0,100.0
2026-03-12 02:13:59,0008,2,0007,0007,-49,343,0,100.0
2026-03-12 02:13:59,0008,2,0007,0003,-56,343,0,100.0
2026-03-12 02:13:59,0008,2,0007,0006,-57,343,0,100.0
2026-03-12 02:13:59,0008,2,0007,0009,-37,343,0,100.0
2026-03-12 02:13:59,0008,2,0007,000A,-53,343,0,100.0
2026-03-12 02:13:59,0009,2,0007,0007,-48,360,0,100.0
2026-03-12 02:13:59,0009,2,0007,0006,-52,360,0,100.0
2026-03-12 02:13:59,0009,2,0007,0005,-57,360,0,100.0
2026-03-12 02:13:59,0009,2,0007,0008,-37,360,0,100.0
2026-03-12 02:13:59,0009,2,0007,000A,-55,360,0,100.0
2026-03-12 02:13:59,0004,1,0002,0002,-52,146,0,100.0
2026-03-12 02:13:59,0004,1,0002,0003,-52,146,0,100.0
2026-03-12 02:13:59,0004,1,0002,0005,-54,146,0,100.0
2026-03-12 02:13:59,0004,1,0002,0006,-58,494,0,100.0
2026-03-12 02:13:59,0004,1,0002,0007,-59,494,0,100.0
2026-03-12 02:13:59,0004,1,0002,000A,-58,494,0,100.0
2026-03-12 02:13:59,0003,1,0002,0002,-51,513,0,100.0
2026-03-12 02:13:59,0003,1,0002,0004,-44,513,0,100.0
2026-03-12 02:13:59,0003,1,0002,0005,-49,513,0,100.0
2026-03-12 02:13:59,0003,1,0002,0006,-50,513,0,100.0
2026-03-12 02:13:59,0003,1,0002,0007,-59,513,0,100.0
2026-03-12 02:13:59,0003,1,0002,0008,-56,513,0,100.0
2026-03-12 02:13:59,0003,1,0002,000A,-59,513,0,100.0
2026-03-12 02:13:59,0006,1,0002,0002,-52,443,0,100.0
2026-03-12 02:13:59,0006,1,0002,0003,-48,443,0,100.0
2026-03-12 02:13:59,0006,1,0002,0007,-49,443,0,100.0
2026-03-12 02:13:59,0006,1,0002,0005,-51,443,0,100.0
2026-03-12 02:13:59,0006,1,0002,0004,-53,443,0,100.0
2026-03-12 02:13:59,0006,1,0002,000A,-55,443,0,100.0
2026-03-12 02:13:59,0006,1,0002,0009,-56,443,0,100.0
2026-03-12 02:13:59,0006,1,0002,0008,-56,443,0,100.0
2026-03-12 02:13:59,0007,1,0002,0002,-60,373,0,100.0
2026-03-12 02:13:59,0007,1,0002,0005,-52,373,0,100.0
2026-03-12 02:13:59,0007,1,0002,0006,-55,373,0,100.0
2026-03-12 02:13:59,0007,1,0002,0003,-55,373,0,100.0
2026-03-12 02:13:59,0007,1,0002,0004,-58,373,0,100.0
2026-03-12 02:13:59,0007,1,0002,000A,-46,373,0,100.0
2026-03-12 02:13:59,0007,1,0002,0009,-50,373,0,100.0
2026-03-12 02:13:59,0007,1,0002,0008,-56,373,0,100.0
2026-03-12 02:13:59,0005,1,0002,0002,-54,459,0,100.0
2026-03-12 02:13:59,0005,1,0002,0003,-49,459,0,100.0
2026-03-12 02:13:59,0005,1,0002,0007,-54,459,0,100.0
2026-03-12 02:13:59,0005,1,0002,0006,-56,459,0,100.0
2026-03-12 02:13:59,0005,1,0002,0004,-57,459,0,100.0
2026-03-12 02:13:59,0005,1,0002,000A,-45,459,0,100.0
2026-03-12 02:13:59,0005,1,0002,0009,-59,459,0,100.0
2026-03-12 02:14:29,0008,2,0006,0007,-57,373,0,100.0
2026-03-12 02:14:29,0008,2,0006,0003,-58,373,0,100.0
2026-03-12 02:14:29,0008,2,0006,0006,-60,373,0,100.0
2026-03-12 02:14:29,0008,2,0006,0009,-45,373,0,100.0
2026-03-12 02:14:29,0008,2,0006,000A,-57,373,0,100.0
2026-03-12 02:14:29,0004,1,0002,0002,-55,524,0,100.0
2026-03-12 02:14:29,0004,1,0002,0003,-44,524,0,100.0
2026-03-12 02:14:29,0004,1,0002,0006,-54,524,0,100.0
2026-03-12 02:14:29,0004,1,0002,0005,-54,524,0,100.0
2026-03-12 02:14:29,0004,1,0002,0007,-59,524,0,100.0
2026-03-12 02:14:29,0004,1,0002,000A,-58,524,0,100.0
2026-03-12 02:14:29,0003,1,0002,0002,-51,543,0,100.0
2026-03-12 02:14:29,0003,1,0002,0004,-44,543,0,100.0
2026-03-12 02:14:29,0003,1,0002,0005,-46,543,0,100.0
2026-03-12 02:14:29,0003,1,0002,0006,-55,543,0,100.0
2026-03-12 02:14:29,0003,1,0002,0007,-59,543,0,100.0
2026-03-12 02:14:29,0003,1,0002,000A,-53,543,0,100.0
2026-03-12 02:14:29,0003,1,0002,0008,-57,543,0,100.0
2026-03-12 02:14:29,0006,1,0002,0002,-52,468,0,100.0
2026-03-12 02:14:29,0006,1,0002,0007,-49,468,0,100.0
2026-03-12 02:14:29,0006,1,0002,0004,-50,468,0,100.0
2026-03-12 02:14:29,0006,1,0002,0005,-51,468,0,100.0
2026-03-12 02:14:29,0006,1,0002,0003,-55,468,0,100.0
2026-03-12 02:14:29,0006,1,0002,0009,-52,468,0,100.0
2026-03-12 02:14:29,0006,1,0002,0008,-52,468,0,100.0
2026-03-12 02:14:29,0006,1,0002,000A,-55,468,0,100.0
2026-03-12 02:14:29,0007,1,0002,0002,-60,403,0,100.0
2026-03-12 02:14:29,0007,1,0002,0006,-55,403,0,100.0
2026-03-12 02:14:29,0007,1,0002,0005,-55,403,0,100.0
2026-03-12 02:14:29,0007,1,0002,0004,-58,403,0,100.0
2026-03-12 02:14:29,0007,1,0002,0003,-58,403,0,100.0
2026-03-12 02:14:29,0007,1,0002,000A,-46,403,0,100.0
2026-03-12 02:14:29,0007,1,0002,0009,-50,403,0,100.0
2026-03-12 02:14:29,0007,1,0002,0008,-57,403,0,100.0
2026-03-12 02:14:29,0005,1,0002,0002,-55,489,0,100.0
2026-03-12 02:14:29,0005,1,0002,0003,-47,489,0,100.0
2026-03-12 02:14:29,0005,1,0002,0007,-50,489,0,100.0
2026-03-12 02:14:29,0005,1,0002,0006,-53,489,0,100.0
2026-03-12 02:14:29,0005,1,0002,0004,-55,489,0,100.0
2026-03-12 02:14:29,0005,1,0002,000A,-45,489,0,100.0
2026-03-12 02:14:29,0005,1,0002,0009,-57,489,0,100.0
2026-03-12 02:14:29,0009,2,0007,0007,-47,385,0,100.0
2026-03-12 02:14:29,0009,2,0007,0006,-52,385,0,100.0
2026-03-12 02:14:29,0009,2,0007,0005,-58,385,0,100.0
2026-03-12 02:14:29,0009,2,0007,0008,-45,385,0,100.0
2026-03-12 02:14:29,0009,2,0007,000A,-52,385,0,100.0
2026-03-12 02:14:29,000A,2,0007,0007,-39,358,0,100.0
2026-03-12 02:14:29,000A,2,0007,0005,-44,358,0,100.0
2026-03-12 02:14:29,000A,2,0007,0003,-54,358,0,100.0
2026-03-12 02:14:29,000A,2,0007,0006,-56,358,0,100.0
2026-03-12 02:14:29,000A,2,0007,0004,-57,358,0,100.0
2026-03-12 02:14:29,000A,2,0007,0009,-52,358,0,100.0
2026-03-12 02:14:29,000A,2,0007,0008,-54,358,0,100.0
2026-03-12 02:14:59,0008,2,0006,0006,-56,408,1,100.0
2026-03-12 02:14:59,0008,2,0006,0003,-56,408,1,100.0
2026-03-12 02:14:59,0008,2,0006,0007,-57,408,1,100.0
2026-03-12 02:14:59,0008,2,0006,0009,-45,408,1,100.0
2026-03-12 02:14:59,0008,2,0006,000A,-53,408,1,100.0
2026-03-12 02:14:59,000A,2,0007,0007,-41,388,0,100.0
2026-03-12 02:14:59,000A,2,0007,0005,-45,388,0,100.0
2026-03-12 02:14:59,000A,2,0007,0006,-54,388,0,100.0
2026-03-12 02:14:59,000A,2,0007,0003,-56,388,0,100.0
2026-03-12 02:14:59,000A,2,0007,0004,-59,388,0,100.0
2026-03-12 02:14:59,000A,2,0007,0009,-55,388,0,100.0
2026-03-12 02:14:59,000A,2,0007,0008,-57,388,0,100.0
2026-03-12 02:14:59,0009,2,0007,0007,-48,420,0,100.0
2026-03-12 02:14:59,0009,2,0007,0006,-57,420,0,100.0
2026-03-12 02:14:59,0009,2,0007,0005,-58,420,0,100.0
2026-03-12 02:14:59,0009,2,0007,0008,-37,420,0,100.0
2026-03-12 02:14:59,0009,2,0007,000A,-52,420,0,100.0
2026-03-12 02:14:59,0007,1,0002,0002,-60,438,0,100.0
2026-03-12 02:14:59,0007,1,0002,0006,-49,438,0,100.0
2026-03-12 02:14:59,0007,1,0002,0005,-52,438,0,100.0
2026-03-12 02:14:59,0007,1,0002,0003,-55,438,0,100.0
2026-03-12 02:14:59,0007,1,0002,0004,-58,438,0,100.0
2026-03-12 02:14:59,0007,1,0002,0009,-46,438,0,100.0
2026-03-12 02:14:59,0007,1,0002,000A,-46,438,0,100.0
2026-03-12 02:14:59,0007,1,0002,0008,-56,438,0,100.0
2026-03-12 02:14:59,0006,1,0002,0002,-52,503,0,100.0
2026-03-12 02:14:59,0006,1,0002,0007,-49,503,0,100.0
2026-03-12 02:14:59,0006,1,0002,0004,-50,503,0,100.0
2026-03-12 02:14:59,0006,1,0002,0005,-54,503,0,100.0
2026-03-12 02:14:59,0006,1,0002,0003,-55,503,0,100.0
2026-03-12 02:14:59,0006,1,0002,0009,-52,503,0,100.0
2026-03-12 02:14:59,0006,1,0002,0008,-52,503,0,100.0
2026-03-12 02:14:59,0006,1,0002,000A,-54,503,0,100.0
2026-03-12 02:14:59,0003,1,0002,0002,-44,573,0,100.0
2026-03-12 02:14:59,0003,1,0002,0004,-45,573,0,100.0
2026-03-12 02:14:59,0003,1,0002,0005,-46,573,0,100.0
2026-03-12 02:14:59,0003,1,0002,0006,-49,573,0,100.0
2026-03-12 02:14:59,0003,1,0002,0007,-56,573,0,100.0
2026-03-12 02:14:59,0003,1,0002,000A,-56,573,0,100.0
2026-03-12 02:14:59,0003,1,0002,0008,-58,573,0,100.0
2026-03-12 02:14:59,0005,1,0002,0002,-52,519,0,100.0
2026-03-12 02:14:59,0005,1,0002,0003,-49,519,0,100.0
2026-03-12 02:14:59,0005,1,0002,0007,-54,519,0,100.0
2026-03-12 02:14:59,0005,1,0002,0004,-56,519,0,100.0
2026-03-12 02:14:59,0005,1,0002,0006,-56,519,0,100.0
2026-03-12 02:14:59,0005,1,0002,000A,-50,519,0,100.0
2026-03-12 02:14:59,0005,1,0002,0009,-58,519,0,100.0
2026-03-12 02:14:59,0004,1,0002,0002,-54,548,0,100.0
2026-03-12 02:14:59,0004,1,0002,0003,-52,548,0,100.0
2026-03-12 02:14:59,0004,1,0002,0006,-57,548,0,100.0
2026-03-12 02:14:59,0004,1,0002,0005,-57,548,0,100.0
2026-03-12 02:14:59,0004,1,0002,0007,-59,548,0,100.0
2026-03-12 02:14:59,0004,1,0002,000A,-60,548,0,100.0
